dark_ratio,edge_density,center_dark,contrast,yawn_score,predicted,actual
0.0,0.098388671875,0.0,24.800957182084307,0.019564732749101692,0,0
0.0,0.059814453125,0.0,26.496959039460585,0.016372409641700232,0,0
0.0,0.06640625,0.0,28.704168621562822,0.01789716171433836,0,0
0.008544921875,0.059814453125,0.0798611111111111,37.720110933487334,0.056136058873017904,0,0
0.358154296875,0.1162109375,0.3628472222222222,31.306699720980546,0.31229883853437146,1,0
0.004150390625,0.107421875,0.0,38.55756139740343,0.02752295606270723,0,0
0.03955078125,0.137451171875,0.16666666666666666,38.28255798518676,0.11124486419149482,1,0
0.0615234375,0.28466796875,0.019097222222222224,53.938442354048284,0.08186739109880979,0,0
0.0009765625,0.073486328125,0.0,44.83654327900626,0.025322215961129907,0,0
0.0,0.07470703125,0.0,19.354451733458404,0.015060684196944472,0,0
0.002197265625,0.075927734375,0.034722222222222224,29.16467279612639,0.03379769516310512,0,0
0.0,0.076171875,0.012152777777777778,36.902570639597535,0.026949894940365048,0,0
0.0,0.076171875,0.012152777777777778,36.902570639597535,0.026949894940365048,0,0
0.0,0.076171875,0.012152777777777778,36.902570639597535,0.026949894940365048,0,0
0.01904296875,0.27734375,0.036458333333333336,40.92586010569143,0.06598425273752606,0,0
0.0,0.029296875,0.0,22.460264902410355,0.011737634520553082,0,0
0.0,0.029296875,0.0,22.460264902410355,0.011737634520553082,0,0
0.087890625,0.284912109375,0.13368055555555555,51.64319600040469,0.13737191688537112,1,0
0.236083984375,0.30322265625,0.024305555555555556,50.06608416732069,0.15411184009421075,1,0
0.01171875,0.13427734375,0.008680555555555556,45.788332076300684,0.03954366525459504,0,0
0.021728515625,0.123291015625,0.06770833333333333,44.17591810799759,0.06542773059995004,0,0
0.041015625,0.115478515625,0.1440972222222222,39.12329285449905,0.10093545823746695,0,0
0.147216796875,0.223876953125,0.14583333333333334,39.396993322793115,0.15505754869888946,1,0
0.040283203125,0.30908203125,0.16493055555555555,30.984797930271707,0.1251446077463484,1,0
0.040283203125,0.30908203125,0.16493055555555555,30.984797930271707,0.1251446077463484,1,0
0.103759765625,0.299560546875,0.050347222222222224,40.355291404404596,0.10742445429870441,0,0
0.115478515625,0.263427734375,0.2517361111111111,44.33325352211929,0.19061421374846182,1,0
0.10986328125,0.157470703125,0.1371527777777778,52.763060330933655,0.1352448901318204,1,0
0.10986328125,0.157470703125,0.1371527777777778,52.763060330933655,0.1352448901318204,1,0
0.239501953125,0.06787109375,0.8020833333333334,31.08890887485763,0.43561295292886576,1,0
0.095458984375,0.122802734375,0.2534722222222222,33.08983480745856,0.16482916188323538,1,0
0.26953125,0.33349609375,0.4704861111111111,39.1578537353016,0.3447125748921117,1,0
